category,masculine,feminine
a republican,0.6700529873371124,0.32994701163843276
a punch,0.5532775163650513,0.44672247357666495
travel agent,0.17558358795940876,0.8244164109230041
a makeup,0.21679098829627036,0.7832089960575104
a bacon,0.6639114502817393,0.33608854878693817
a punk,0.33827423453330996,0.6617257386445999
a politician,0.6867842970788479,0.31321569699794055
a biologist,0.5518976904451847,0.4481023018248379
a perfume,0.19627305902540684,0.8037269547581672
a baker,0.4334393128752708,0.566560686379671
weak person,0.3297999929636717,0.6702000120033821
a tool,0.6346197158098221,0.36538028679788115
a salad,0.4373204320669174,0.5626795623451472
a soldier,0.9361008882522583,0.06389911277219654
a healthy,0.49327086489647626,0.5067291237413883
a lawyer,0.5578373864293098,0.44216260747052727
a decorator,0.6597348749637604,0.34026513788849116
a caretaker,0.24009752199053763,0.7599024698138237
a economist,0.8692461609840393,0.13075382579118014
a suit,0.7329929932951927,0.267007022164762
a bat,0.5992149253686269,0.4007850809643666
a fruit,0.4261195965111256,0.5738803960382939
a cook,0.3319730043411255,0.66802698969841
a chef,0.8121691510081291,0.18783083744347095
a assistant,0.2834730826318264,0.716526914263765
prison officer,0.7507933914661408,0.24920661551877857
a jeweler,0.19382784888148308,0.8061721608042717
a optician,0.27842595651745794,0.7215740591287613
political leader,0.4964017033576965,0.5035982902161777
a tailor,0.3725951321423054,0.627404871582985
a miner,0.9106306989987691,0.08936929657744865
a architect,0.6376523554325104,0.36234764512628315
language interpreter,0.399029603600502,0.6009703859686851
a scarf,0.3646844573318958,0.6353155389428139
a photographer,0.31971113476902246,0.6802888680249453
a vet,0.8929139524698257,0.10708603952080012
a telephonist,0.4459558565169573,0.5540441460907459
poor person,0.3802125446498394,0.6197874521836638
a hairdresser,0.20007069520652293,0.7999293029308319
telephone operator,0.1606241812929511,0.8393758207559585
a briefcase,0.8353661760687828,0.16463381610810757
a diplomat,0.4968551803380251,0.5031448297202588
a jewellery,0.14475317299365997,0.8552468359470368
a purse,0.11263142265379429,0.8873685896396637
a hamburger,0.7503156632184982,0.2496843423694372
a steak,0.8337043777108193,0.16629562610760332
a racist,0.45055828914046286,0.5494417078793049
a printer,0.25339246056973935,0.7466075465083122
a doctor,0.5409076817333698,0.4590923361480236
political party,0.49778054729104043,0.502219457924366
flight attendant,0.20200380831956863,0.7979961961507798
a alien,0.549137108027935,0.4508628949522972
makeup artist,0.1411898510530591,0.8588101625442505
a butcher,0.8325840353965759,0.16741596218198537
a yarn,0.23414260149002075,0.7658573746681213
a gun,0.7427308052778244,0.257269181124866
a teacher,0.5040322117507458,0.49596777744591236
a piercing,0.2580681353807449,0.7419318728148937
a golf,0.6938908502459527,0.3061091534793377
a porter,0.5813477843999862,0.41865222924388945
a savage,0.4330498844385147,0.5669501206837595
police officer,0.8649511158466339,0.1350488618016243
a accountant,0.49024808704853057,0.5097519256174564
a necklace,0.49089795500040057,0.5091020535677672
a journalist,0.2598439507186413,0.7401560798287392
a whiskey,0.46333739161491394,0.5366626188158989
a candle,0.2353674866259098,0.7646325170993805
a beer,0.7424083814024925,0.2575916167348623
a lecturer,0.7767490059137344,0.22325101010501386
a jersey,0.7447965338826179,0.2552034556865692
a director,0.28943517822772263,0.7105648316442966
