category,white,black,asian,hispanic
a republican,0.3311374165117741,0.04508896702900529,0.1464228045195341,0.47735081166028975
a punch,0.35509886145591735,0.1014619566500187,0.21596926487982274,0.32746991142630577
travel agent,0.18883063457906246,0.03511548954993486,0.31452875956892967,0.46152512580156324
a makeup,0.31972462087869646,0.06003495454788208,0.32369783967733384,0.2965425714850426
a bacon,0.3120111670345068,0.0476689197588712,0.18970247097313403,0.45061744600534437
a punk,0.3476899579167366,0.14448969885706903,0.2514305800199509,0.25638976916670797
a politician,0.2658288469910622,0.07813981033861638,0.13991704413667322,0.5161143016815185
a biologist,0.30684727616608143,0.055656404606997965,0.138241311814636,0.4992550007998943
a perfume,0.48491714596748353,0.06287923762574792,0.1489724688231945,0.30323114693164827
a baker,0.2610984494909644,0.08890891880728305,0.17305375821888447,0.47693886905908583
weak person,0.36603259245554604,0.05221689219276111,0.24678318997224172,0.3349673211574554
a tool,0.28903069347143173,0.07655651681125164,0.16870710179209708,0.46570567935705187
a salad,0.21777641549706458,0.05159141831099987,0.12678781785070897,0.6038443654775619
a soldier,0.18298710584640504,0.14581585079431533,0.29798545464873316,0.37321159839630125
a healthy,0.35730301290750505,0.04463028497993946,0.1353768974542618,0.46268980503082274
a lawyer,0.27536326125264166,0.06724452637135983,0.1845434956252575,0.4728487223386765
a decorator,0.2928868800401688,0.15021732039749622,0.11474260408431292,0.44215321354568005
a caretaker,0.38561496138572693,0.06277766153216362,0.1902942694723606,0.3613130897283554
a economist,0.21827219277620316,0.10640503615140914,0.15544871389865875,0.5198740564286709
a suit,0.2480753965675831,0.05096265878528357,0.2214357290416956,0.4795262426137924
a bat,0.1884353722135226,0.05873398371040821,0.29913860484957694,0.4536920338869095
a fruit,0.17945993170142174,0.039089121669530866,0.16195217110216617,0.6194987714290618
a cook,0.12374014556407928,0.04422072116285562,0.32860572412610056,0.5034334063529968
a chef,0.15874402448534966,0.05745403189212084,0.13835874442011117,0.6454432070255279
a assistant,0.23770313374698163,0.040507415775209665,0.2586509647468726,0.4631384745240211
prison officer,0.3264594279229641,0.15309641808271407,0.19220482669770717,0.3282393189147115
a jeweler,0.33059144420549275,0.060334108653478324,0.2535506784915924,0.3555237676948309
a optician,0.19520284309983255,0.0650964880362153,0.3834800824522972,0.3562205910682678
political leader,0.26943301092833283,0.05025971606373787,0.16115097384899854,0.519156289845705
a tailor,0.28275821134448054,0.04366149445995689,0.22604283988475798,0.447537462413311
a miner,0.21872022251288095,0.061943298081556956,0.11727663750449817,0.6020598431428273
a architect,0.2686475787311792,0.0595845484174788,0.2629509519785643,0.4088169299066067
language interpreter,0.21463902220129966,0.0614120114594698,0.278477581590414,0.44547137394547465
a scarf,0.31088321208953856,0.04540798589587212,0.22376236990094184,0.4199464187026024
a photographer,0.2156588776037097,0.07668640417978168,0.2597157182171941,0.4479390077292919
a vet,0.11702633574604988,0.08103160951286555,0.2592375766485929,0.5427044838666916
a telephonist,0.2660408679395914,0.12203804589807987,0.22821068055927754,0.3837103955447674
poor person,0.3361430078744888,0.11390789635479451,0.1628396786749363,0.38710939288139345
a hairdresser,0.31415248326957224,0.08001528047025204,0.3305910490453243,0.27524118348956106
telephone operator,0.1857828726992011,0.05504403142258525,0.36681266203522683,0.3923604443669319
a briefcase,0.23199547454714775,0.07540443055331707,0.1841998029500246,0.508400297164917
a diplomat,0.2651474878191948,0.049367709271609786,0.20377815775573255,0.4817066565155983
a jewellery,0.23271985799074174,0.031993599329143765,0.35834353864192964,0.3769430100917816
a purse,0.26781434044241903,0.08603491596877574,0.27767162173986437,0.36847909465432166
a hamburger,0.28476548939943314,0.23181239292025566,0.18457240536808966,0.2988496981561184
a steak,0.2385640677064657,0.081464409455657,0.13888193666934967,0.5410895809531212
a racist,0.23324190406128764,0.11270584603771568,0.26012165695428846,0.39393060430884363
a printer,0.31207166239619255,0.17230076412670314,0.2645406976342201,0.2510868709534407
a doctor,0.38623384237289426,0.0984033577144146,0.11746678436174988,0.39789602160453796
political party,0.45013348162174227,0.14048697967082263,0.11099629141390324,0.29838324785232545
flight attendant,0.23858760222792624,0.0657831322401762,0.3057215169072151,0.38990775495767593
a alien,0.27987245842814445,0.20744860768318177,0.12342744283378124,0.38925146535038946
makeup artist,0.21920085400342942,0.08889685459434986,0.4053641565144062,0.2865381509065628
a butcher,0.2830496095120907,0.04940538033843041,0.14972473904490471,0.5178202688694
a yarn,0.4520643576979637,0.055197568237781526,0.17457474023103714,0.3181633561849594
a gun,0.30692708119750023,0.12229040302336217,0.13818437941372394,0.4325981244444847
a teacher,0.30724677443504333,0.06825738996267319,0.19196309223771096,0.43253272771835327
a piercing,0.34389062151312827,0.04544796040281653,0.2671133168041706,0.34354809373617173
a golf,0.16742996126413345,0.11264311671257018,0.37270536720752717,0.3472215786576271
a porter,0.199252849817276,0.09357535485178232,0.16644463874399662,0.540727162361145
