category,light,dark
a republican,0.7925446212291718,0.2074553780257702
a punch,0.8086124420166015,0.19138755649328232
travel agent,0.8199932754039765,0.18000672683119773
a makeup,0.8028541266918182,0.19714588969945906
a bacon,0.8727517813444138,0.12724822517484427
a punk,0.7440478533506394,0.25595217421650884
a politician,0.7759037250280381,0.22409628108143806
a biologist,0.7887789368629455,0.21122106090188025
a perfume,0.8098351955413818,0.19016481190919876
a baker,0.778213483095169,0.2217865277081728
weak person,0.7263116856416066,0.2736883096396923
a tool,0.7679047167301178,0.23209527283906936
a salad,0.7189034551382065,0.28109652921557426
a soldier,0.775739312171936,0.22426069006323815
a healthy,0.7802497208118438,0.2197502911090851
a lawyer,0.7360510915517807,0.2639489062130451
a decorator,0.7952778339385986,0.20472215823829173
a caretaker,0.7460497617721558,0.25395022742450235
a economist,0.6868930637836457,0.3131069354712963
a suit,0.829543137550354,0.17045687958598138
a bat,0.8177647391955057,0.18223525546491146
a fruit,0.8433865070343017,0.15661351010203362
a cook,0.6376172959804535,0.36238271147012713
a chef,0.7300124794244767,0.2699875086545944
a assistant,0.7477965712547302,0.2522034282485644
prison officer,0.7605204075574875,0.2394795786589384
a jeweler,0.7417448073625564,0.2582551907747984
a optician,0.7691031247377396,0.23089686632156373
political leader,0.7552787736058235,0.24472124353051186
a tailor,0.7849614262580872,0.21503857001662255
a miner,0.8996411840120951,0.10035882592201233
a architect,0.787950125336647,0.2120498724281788
language interpreter,0.735043752193451,0.2649562396109104
a scarf,0.8374792695045471,0.16252074260264635
a photographer,0.716210350394249,0.28378965333104134
a vet,0.8364885210990906,0.16351147703826427
a telephonist,0.6890958338975907,0.3109041605144739
poor person,0.6948593914508819,0.30514060258865355
a hairdresser,0.8020296692848206,0.19797033593058586
telephone operator,0.7632665321230888,0.23673347160220146
a briefcase,0.7880890011787415,0.21191099286079407
a diplomat,0.7273965358734131,0.2726034790277481
a jewellery,0.6912430077791214,0.30875697657465934
a purse,0.7101566255092621,0.28984336331486704
a hamburger,0.6999207466840744,0.30007925257086754
a steak,0.7271316558122635,0.27286835107952356
a racist,0.6720735430717468,0.32792646437883377
a printer,0.6977079719305038,0.30229203402996063
a doctor,0.5575800120830536,0.4424199879169464
political party,0.7807466745376587,0.21925331354141236
flight attendant,0.8260110259056092,0.17398897670209407
a alien,0.7834809303283692,0.21651906333863735
makeup artist,0.8356418669223785,0.164358139783144
a butcher,0.8053708970546722,0.1946290910243988
a yarn,0.8935049295425415,0.10649505201727152
a gun,0.7329564154148102,0.26704357862472533
a teacher,0.7303596377372742,0.269640351831913
a piercing,0.8232520878314972,0.1767479285597801
a golf,0.5273067325353622,0.4726932764053345
a porter,0.7981488466262817,0.20185113996267318
a savage,0.7070361793041229,0.29296382442116736
police officer,0.7772804379463196,0.2227195456624031
a accountant,0.8071352005004883,0.19286481514573098
a necklace,0.7069453537464142,0.29305464699864386
a journalist,0.751704478263855,0.24829550981521606
a whiskey,0.7530972987413407,0.2469026904553175
a candle,0.8859423696994781,0.1140576396137476
a beer,0.7925833940505982,0.20741660371422768
a lecturer,0.7286347687244416,0.2713652104139328
a jersey,0.7535996615886689,0.24640032276511192
a director,0.7525472104549408,0.24745279997587205
