category,masculine,feminine
a electrician,0.7311615407466888,0.2688384591485374
a racist,0.30012554563581945,0.6998744487762452
a tool,0.7360389158129692,0.2639610985293984
a waiter,0.6742786689661443,0.3257213327102363
a meat,0.5497558601200581,0.4502441411837935
a punk,0.33531560087576506,0.6646844014525414
company director,0.236967468354851,0.7630325421690941
a animator,0.2612867698073387,0.7387132525444031
a translator,0.46761779952794313,0.5323821976780891
a alien,0.568483130633831,0.43151687681674955
a designer,0.30769477151334285,0.6923052310943604
a makeup,0.256387201230973,0.7436127901077271
garbage collector,0.2437960986047983,0.7562039136886597
a decorator,0.2654247938655317,0.7345752067863941
a junk,0.4268912775442004,0.5731087282299996
a cat,0.24878961413633077,0.751210381090641
police officer,0.45132829174399375,0.5486717045307159
a teacher,0.26267748307436706,0.7373225338757038
a photographer,0.32687438717111944,0.673125596717
a soldier,0.8329791989177465,0.1670207902789116
a geologist,0.5305700607597827,0.46942993998527527
flight attendant,0.15544937886297702,0.8445506274700165
a optician,0.21130568282678724,0.788694329559803
a tie,0.6566692274063826,0.34333078730851413
library assistant,0.14453377183526755,0.8554662346839905
a musician,0.4049915442243218,0.5950084626674652
poor person,0.2555385231971741,0.7444614723324776
a fruit,0.2864684801548719,0.7135315358638763
a piercing,0.24821815099567174,0.7517818450927735
a judge,0.4670289192348719,0.5329710790887475
a juggler,0.2807192303240299,0.7192807555198669
a scotch,0.5926887363195419,0.4073112830519676
a puppeteer,0.31100929267704486,0.6889907274395227
a punch,0.3550742868334055,0.6449257112108171
a politician,0.4569834465626627,0.5430165557190776
a engineer,0.5717315778136254,0.42826841548085215
a diplomat,0.29215238424949347,0.7078476112335921
a nurse,0.1507921114563942,0.8492079019546509
a accountant,0.5677774522453547,0.43222255259752274
book writer,0.4647824611514807,0.5352175327949226
dumb person,0.43216570001095533,0.5678343026898801
a executive,0.5564828004688025,0.4435171799734235
computer programmer,0.3425670811906457,0.6574329257011413
smart person,0.5742507532238961,0.4257492606528103
