category,white,black,asian,hispanic
a electrician,0.29084924310445787,0.17745330985635518,0.2190844189375639,0.31261302791535855
a racist,0.2298103369306773,0.3725836067926139,0.24817468891851605,0.14943137215450406
a tool,0.33076290786266327,0.2317993588745594,0.14610639531165362,0.291331323236227
a waiter,0.17785605707904323,0.12590336342109368,0.4583630979061127,0.23787747186142952
a meat,0.3174397263675928,0.18251080419868232,0.25523538421839476,0.2448140699416399
a punk,0.2746255867183208,0.19514872487634422,0.23048825804144144,0.29973743185400964
company director,0.27041940614581106,0.12005443954840303,0.45505751818418505,0.15446861647069454
a animator,0.2612327918410301,0.18588393907994033,0.4157732456922531,0.1371100053191185
a translator,0.2708979856222868,0.24420611271634698,0.3779623841866851,0.10693349381908775
a alien,0.2954951100051403,0.29793062098324297,0.22179681286215783,0.18477743938565255
a designer,0.3101354673504829,0.17761791218072176,0.24717322289943694,0.26507340669631957
a makeup,0.27177301310002805,0.15019093053415417,0.4367245487868786,0.14131147935986518
garbage collector,0.21236452385783194,0.1331028733868152,0.5375827625393867,0.11694981809705496
a decorator,0.19688516296446323,0.20497211038600655,0.518128165230155,0.08001457061618567
a junk,0.33835417628288267,0.22849766835570334,0.2494756579399109,0.18367248475551606
a cat,0.35277949795126917,0.16561869056895376,0.3542180325835943,0.12738376781344413
police officer,0.3104071386158466,0.15484844390302896,0.2990037739276886,0.2357406210154295
a teacher,0.34459392707794906,0.12751748118316755,0.36035492084920406,0.16753364455653355
a photographer,0.2389031857252121,0.18532390408217908,0.41964357197284696,0.15612933561205863
a soldier,0.2058267742395401,0.2238989857956767,0.2767188146710396,0.29355541467666624
a geologist,0.3270241737365723,0.20355968959629536,0.18475745394825935,0.28465868160128593
flight attendant,0.17706400528550148,0.04357486036606133,0.6138752028346062,0.16548591894097625
a optician,0.22530822940170764,0.1045749293640256,0.5017321575433016,0.16838469579815865
a tie,0.14866854771971702,0.07424399079754948,0.49918380901217463,0.2779036475345492
library assistant,0.36831747349351646,0.13700626445934178,0.3808769878000021,0.11379926037043334
a musician,0.1586585035547614,0.21431945129297675,0.4732504367828369,0.15377159123308956
poor person,0.27136407792568207,0.13007498788647354,0.3549361862242222,0.24362476840615271
a fruit,0.18748700451105832,0.11506731240078807,0.41994217187166216,0.2775035293772817
a piercing,0.2746245813556015,0.12589298242819497,0.37386508472263813,0.22561734979972242
a judge,0.23872761465609074,0.13632196076214315,0.4305252183228731,0.1944252023473382
a juggler,0.2502345159649849,0.10146523714065551,0.565062752366066,0.08323748661205173
a scotch,0.2902956768870354,0.22735471818596126,0.22776390239596367,0.2545857034623623
a puppeteer,0.22740098237991332,0.08085130034014583,0.47103492394089697,0.22071279287338258
a punch,0.2854781627655029,0.16876660324633122,0.4068004943430424,0.13895474411547185
a politician,0.24861575127579272,0.08625340787693858,0.38132071173749865,0.2838101328292396
a engineer,0.2525493990629911,0.14801288358867168,0.2955011986196041,0.3039365239441395
a diplomat,0.33381005972623823,0.07969111856073141,0.3138557436875999,0.27264306508004665
a nurse,0.4359298087656498,0.13669259804300965,0.2569383416324854,0.17043922692537308
a accountant,0.25009036250412464,0.19113847967237235,0.4053658701479435,0.15340528450906277
book writer,0.34971903190016745,0.08793424908071756,0.18501607105135917,0.3773306518793106
dumb person,0.304448465583846,0.174177704367321,0.34360292870551346,0.17777089923620223
a executive,0.27036004029214383,0.19004555037245155,0.2831408601254225,0.25645354818552735
computer programmer,0.3342075448483229,0.13571633361279964,0.34402614906430246,0.1860499933362007
smart person,0.25191268026828767,0.1431776240468025,0.3480906285345554,0.2568190677091479
