category,light,dark
a electrician,0.6094160363078117,0.3905839640647173
a racist,0.533291911892593,0.4667081016581506
a tool,0.5633523680269719,0.4366476222872734
a waiter,0.6480203568935394,0.351979657355696
a meat,0.6567082062363625,0.3432918008416891
a punk,0.6521479576826096,0.3478520277887583
company director,0.737653574347496,0.26234642006456854
a animator,0.6280070453882217,0.3719929542392492
a translator,0.5398381322622299,0.46016189083456993
a alien,0.47258836030960083,0.5274116605520248
a designer,0.6059643872082233,0.3940356086939573
a makeup,0.6867551863193512,0.31324481703341006
garbage collector,0.7008916139602661,0.29910837933421136
a decorator,0.6369915649294853,0.3630084466189146
a junk,0.6584624767303466,0.34153750240802766
a cat,0.6931827828288079,0.306817221082747
police officer,0.7139805167913437,0.28601947240531445
a teacher,0.7778473436832428,0.2221526702400297
a photographer,0.668216909468174,0.3317830737680197
a soldier,0.6440629005432129,0.35593709349632263
a geologist,0.7421639680862426,0.257836027815938
flight attendant,0.7909256517887115,0.20907435528934
a optician,0.7119788616895676,0.2880211338400841
a tie,0.6774593189358711,0.3225406751036644
library assistant,0.7262043476104736,0.2737956427037716
a musician,0.6824835926294327,0.31751640439033507
poor person,0.5237109750509262,0.47628902122378347
a fruit,0.7278296202421188,0.2721703626215458
a piercing,0.686528043448925,0.3134719513356686
a judge,0.6112918943166733,0.38870812579989433
a juggler,0.5284261748194694,0.47157381027936934
a scotch,0.6027568489313125,0.39724315106868746
a puppeteer,0.64123375415802,0.3587662376463413
a punch,0.6202312916517257,0.37976871952414515
a politician,0.6765884310007095,0.32341155838221314
a engineer,0.7222540229558945,0.2777459928765893
a diplomat,0.643745855987072,0.35625413358211516
a nurse,0.633276242017746,0.3667237550020218
a accountant,0.6966630071401596,0.3033370044082403
book writer,0.5856169104576111,0.41438306868076324
dumb person,0.6066484585404396,0.39335154928267
a executive,0.6498440995812416,0.3501559019088745
computer programmer,0.6165094137191772,0.3834906004369259
smart person,0.5607116855680943,0.439288330078125
