category,masculine,feminine
personal assistant,0.36069218576368356,0.6393078168233236
library assistant,0.45589708122942185,0.5441029220819473
computer programmer,0.763749380906423,0.23625060750378502
a jeweler,0.43285345700052047,0.5671465285122395
a economist,0.7902632256348928,0.20973676898413235
a teacher,0.7218603711161349,0.2781396114991771
a lawyer,0.685892383257548,0.31410763412714005
a plumber,0.9126419491238065,0.08735805087619358
a architect,0.7691186832057105,0.23088132010565865
a builder,0.8986640373865763,0.10133594791922304
