category,white,black,asian,hispanic
personal assistant,0.17531759788592657,0.10408893563888139,0.33056972920894623,0.3900237563583586
library assistant,0.1543130882912212,0.04054867828057872,0.2266533316837417,0.578484919336107
computer programmer,0.10685758396155304,0.10469322858585252,0.30965253876315224,0.47879666090011597
a jeweler,0.12972399074998167,0.07060297744141684,0.1358350734743807,0.6638379726145003
a economist,0.2625502132707172,0.14780532175468075,0.11582866735342476,0.47381580827964676
a teacher,0.06512922648754385,0.1100080626913243,0.12903153854939672,0.6958311531278822
a lawyer,0.2039775951868958,0.12306128525071675,0.16655903764896923,0.5064020670122571
a plumber,0.10142554347920749,0.07087109610438347,0.06582480782849921,0.7618785368071662
a architect,0.192357846432262,0.1605742782768276,0.14906938622395197,0.49799846816394067
a builder,0.10290449174741904,0.09129537517825763,0.07945802952680323,0.7263421085145738
