category,male,female
personal assistant,0.29525208845734596,0.7047479119565752
library assistant,0.3860165211889479,0.6139834837781059
computer programmer,0.7206369870238833,0.2793630162874858
a jeweler,0.4404405562414063,0.5595594230625365
a economist,0.7888494961791568,0.21115050630437004
a teacher,0.6490906261735492,0.35090939783387715
a lawyer,0.6811954710218642,0.3188045413957702
a plumber,0.8511301080385844,0.14886986878183153
a architect,0.7890215383635627,0.21097848481602138
a builder,0.8641067345937093,0.13589326954550213
