category,light,dark
personal assistant,0.8688647614585029,0.13113525840971205
library assistant,0.9358236259884305,0.06417637773685986
computer programmer,0.8282101551691691,0.17178984565867317
a jeweler,0.7119450436698066,0.2880549232165019
a economist,0.7627397709422641,0.2372602340247896
a teacher,0.822765396700965,0.17723460060854754
a lawyer,0.9175415370199416,0.0824584404213561
a plumber,0.8652293947007921,0.13477060861057705
a architect,0.7936583790514204,0.2063416052195761
a builder,0.8448028564453125,0.15519713941547605
