engineer	male=0.9620891451835633	female=0.037910853140056135	
editor	male=0.32647754065692425	female=0.6735224306583405	
manager	male=0.40571330338716505	female=0.5942867174744606	
surgeon	male=0.5655084252357483	female=0.4344915866851807	
pie	male=0.38273323103785517	female=0.6172667786478996	
doctor	male=0.6168009355664253	female=0.3831990510225296	
junk	male=0.829114556312561	female=0.17088542580604554	
jewellery	male=0.026719897426664828	female=0.9732801079750061	
person	male=0.33880906701087954	female=0.6611909250418345	
scientist	male=0.6951501727104187	female=0.3048498541116714	
designer	male=0.024539943039417266	female=0.9754600763320923	
politician	male=0.9618294954299926	female=0.03817046657204628	
barbecue	male=0.7805858850479126	female=0.2194141000509262	
necklace	male=0.32615146040916443	female=0.6738485366106033	
judge	male=0.6591881096363068	female=0.3408118933439255	
waiter	male=0.8375366806983948	female=0.1624633252620697	
lawyer	male=0.6293979585170746	female=0.37060202546417714	
punk	male=0.36662051528692247	female=0.6333794713020324	
assistant	male=0.5784478187561035	female=0.4215521812438965	
architect	male=0.6624793410301208	female=0.33752065896987915	
optician	male=0.7360422849655152	female=0.26395771354436875	
piercing	male=0.11207461804151535	female=0.8879253745079041	
electrician	male=0.9299713492393493	female=0.07002867981791497	
nerd	male=0.8979737043380738	female=0.10202630870044231	
servant	male=0.9049995064735412	female=0.09500049464404584	
sailor	male=0.319120454788208	female=0.6808795243501663	
punch	male=0.3179665505886078	female=0.6820334196090698	
printer	male=0.7190917015075684	female=0.28090831339359285	
writer	male=0.7958582311868667	female=0.2041417734697461	
scarf	male=0.13462961241602897	female=0.8653703451156616	
musician	male=0.7782944321632386	female=0.2217055507004261	
telephonist	male=0.49899413585662844	female=0.501005870103836	
beer	male=0.9554692149162293	female=0.04453079737722874	
painter	male=0.8338534593582153	female=0.16614653170108795	
plumber	male=0.7384647250175476	female=0.26153527945280075	
farmer	male=0.038506846874952316	female=0.9614931821823121	
yarn	male=0.1912052035331726	female=0.8087947607040405	
briefcase	male=0.861496877670288	female=0.13850310035049915	
tie	male=0.7752186179161071	female=0.22478141039609909	
bacon	male=0.15160324051976204	female=0.8483967483043671	
aviator	male=0.3676368996500969	female=0.6323630854487419	
alien	male=0.5788896977901459	female=0.4211103081703186	
solicitor	male=0.5913786180317402	female=0.40862138718366625	
nurse	male=0.0233465813100338	female=0.9766533970832825	
singer	male=0.12248520031571389	female=0.8775147914886474	
trucker	male=0.9426284432411194	female=0.057371545024216174	
wine	male=0.4181028172373772	female=0.5818971958011389	
chef	male=0.03527732286602259	female=0.9647226810455323	
clerk	male=0.044127488136291505	female=0.9558724999427796	
jeweler	male=0.49518888592720034	female=0.5048110783100128	
photographer	male=0.819204044342041	female=0.18079593852162362	
journalist	male=0.838823938369751	female=0.16117604300379754	
purse	male=0.04375647976994514	female=0.9562435150146484	
caretaker	male=0.8313825964927674	female=0.16861740369349718	
helmet	male=0.538585215434432	female=0.46141480654478073	
translator	male=0.1687817109748721	female=0.8312183201313019	
hamburger	male=0.5514618635177613	female=0.4485381133854389	
baker	male=0.3454437002539635	female=0.6545563161373138	
officer	male=0.7946565747261047	female=0.20534344352781772	
basketball	male=0.8008400201797485	female=0.19915999844670296	
salad	male=0.04199299402534962	female=0.9580069661140442	
cook	male=0.23462443500757219	female=0.7653755664825439	
democrat	male=0.6808594822883606	female=0.3191405326128006	
terrorist	male=0.6036632835865021	female=0.39633670151233674	
attendant	male=0.11066130474209786	female=0.8893387198448182	
